	chromosome	db	type	start	stop	strand	gene_type	gene_name
684	2	HAVANA	gene	188328957	188430487	-	protein_coding	TFPI
687	2	HAVANA	gene	190526111	190535557	+	protein_coding	ASNSD1
688	2	HAVANA	gene	191886252	191897040	+	processed_transcript	AC067945.4
690	2	HAVANA	gene	192813769	193060435	-	protein_coding	TMEFF2
692	2	HAVANA	gene	196602427	196933536	-	protein_coding	DNAH7
694	2	HAVANA	gene	200775979	200820658	+	protein_coding	C2orf69
695	2	HAVANA	gene	200794698	200820459	-	protein_coding	TYW5
698	2	HAVANA	gene	201689396	201692061	+	lincRNA	RP11-469M7.1
700	2	HAVANA	gene	202047604	202094129	+	protein_coding	CASP10
702	2	HAVANA	gene	202484907	202508293	-	protein_coding	TMEM237
703	2	HAVANA	gene	202509593	202563417	-	protein_coding	MPP4
704	2	HAVANA	gene	203070903	203103331	-	protein_coding	SUMO1
705	2	HAVANA	gene	203130439	203168389	+	protein_coding	NOP58
706	2	HAVANA	gene	204259068	204400133	-	protein_coding	RAPH1
708	2	HAVANA	gene	204801471	204826300	+	protein_coding	ICOS
710	2	HAVANA	gene	205410516	206484886	+	protein_coding	PARD3B
712	2	HAVANA	gene	208394461	208468155	+	protein_coding	CREB1
713	2	HAVANA	gene	208445355	208490652	-	protein_coding	METTL21A
716	2	HAVANA	gene	209130991	209223475	+	protein_coding	PIKFYVE
718	2	HAVANA	gene	211036242	211095107	+	antisense	AC006994.2
719	2	HAVANA	gene	211189483	211333970	+	antisense	AC007970.1
720	2	HAVANA	gene	211295973	211342376	-	protein_coding	LANCL1
721	2	HAVANA	gene	213446081	213886269	-	sense_overlapping	AC079610.1
723	2	HAVANA	gene	216809213	216898819	-	protein_coding	MREG
724	2	HAVANA	gene	216861052	216947678	-	protein_coding	PECR
725	2	HAVANA	gene	219081817	219119079	+	protein_coding	ARPC2
726	2	HAVANA	gene	219724544	219738955	+	protein_coding	WNT6
727	2	HAVANA	gene	220238268	220264744	-	protein_coding	DNPEP
728	2	HAVANA	gene	220408385	220415317	+	protein_coding	TMEM198
729	2	HAVANA	gene	223435255	223521056	-	protein_coding	FARSB
730	2	HAVANA	gene	224720433	224810104	-	protein_coding	WDFY1
731	2	HAVANA	gene	225629807	225907162	-	protein_coding	DOCK10
732	2	HAVANA	gene	227867427	228028829	-	protein_coding	COL4A4
734	2	HAVANA	gene	232318242	232348352	-	protein_coding	NCL
735	2	HAVANA	gene	234216462	234255701	+	protein_coding	SAG
736	2	HAVANA	gene	234774083	234777090	-	pseudogene	MSL3P1
738	2	HAVANA	gene	236402733	237040444	+	protein_coding	AGAP1
740	2	HAVANA	gene	237076090	237203570	+	antisense	AC079135.1
741	2	HAVANA	gene	237102095	237173052	-	protein_coding	ASB18
742	2	HAVANA	gene	239047363	239061588	+	protein_coding	KLHL30
743	2	HAVANA	gene	239152679	239198743	-	protein_coding	PER2
744	2	HAVANA	gene	241505221	241520789	+	protein_coding	RNPEPL1
745	2	HAVANA	gene	241631262	241637900	+	protein_coding	AQP12A
746	2	HAVANA	gene	243030784	243102304	+	pseudogene	AC093642.5
747	3	HAVANA	gene	2140497	3099645	+	protein_coding	CNTN4
749	3	HAVANA	gene	3742498	4508965	-	protein_coding	SUMF1
750	3	HAVANA	gene	4344988	4359251	+	protein_coding	SETMAR
753	3	HAVANA	gene	4535032	4889524	+	protein_coding	ITPR1
755	3	HAVANA	gene	6811688	7783215	+	protein_coding	GRM7
757	3	HAVANA	gene	8661086	8786726	-	protein_coding	SSUH2
758	3	HAVANA	gene	8817088	9005457	-	protein_coding	RAD18
759	3	HAVANA	gene	9022275	9404737	-	protein_coding	SRGAP3
760	3	HAVANA	gene	9334272	9404987	-	antisense	RP11-380O24.1
763	3	HAVANA	gene	9791628	9829903	+	protein_coding	OGG1
764	3	HAVANA	gene	9821544	9834695	-	protein_coding	TADA3
767	3	HAVANA	gene	10334815	10362862	-	protein_coding	SEC13
768	3	HAVANA	gene	10365707	10749716	-	protein_coding	ATP2B2
769	3	HAVANA	gene	12837971	12913415	+	protein_coding	CAND2
770	3	HAVANA	gene	12938719	13114617	-	protein_coding	IQSEC1
771	3	HAVANA	gene	13692196	13788132	+	antisense	LINC00620
773	3	HAVANA	gene	14219858	14242619	+	protein_coding	LSM3
775	3	HAVANA	gene	14693271	14714166	+	protein_coding	CCDC174
776	3	HAVANA	gene	15083967	15106842	-	protein_coding	MRPS25
777	3	HAVANA	gene	15602211	15643338	-	protein_coding	HACL1
779	3	HAVANA	gene	16299485	16306479	-	protein_coding	DPH3
781	3	HAVANA	gene	17198654	18486309	-	protein_coding	TBC1D5
782	3	HAVANA	gene	18386879	18487080	-	protein_coding	SATB1
783	3	HAVANA	gene	18486516	18959184	+	processed_transcript	AC144521.1
784	3	HAVANA	gene	20202085	20227784	-	protein_coding	SGOL1
785	3	HAVANA	gene	20215736	20227919	+	antisense	SGOL1-AS1
788	3	HAVANA	gene	21459915	22414812	-	protein_coding	ZNF385D
789	3	HAVANA	gene	21984058	22021320	+	lincRNA	ZNF385D-AS2
791	3	HAVANA	gene	24729410	25215796	+	lincRNA	AC133680.1
793	3	HAVANA	gene	25639475	25706398	-	protein_coding	TOP2B
795	3	HAVANA	gene	27151576	27410951	-	protein_coding	NEK10
797	3	HAVANA	gene	27744620	27745059	-	pseudogene	AC098614.3
799	3	HAVANA	gene	28390637	28579613	+	protein_coding	ZCWPW2
801	3	HAVANA	gene	29322473	30051886	+	protein_coding	RBMS3
802	3	HAVANA	gene	30767692	30936257	-	protein_coding	GADL1
804	3	HAVANA	gene	31574130	31679112	+	protein_coding	STT3B
805	3	HAVANA	gene	31699382	32119072	-	protein_coding	OSBPL10
806	3	HAVANA	gene	32147181	32210205	+	protein_coding	GPD1L
807	3	HAVANA	gene	33839844	33911194	+	protein_coding	PDCD6IP
808	3	HAVANA	gene	37284668	37408242	+	protein_coding	GOLGA4
810	3	HAVANA	gene	37903451	38025960	+	protein_coding	CTDSPL
811	3	HAVANA	gene	38048987	38071253	-	protein_coding	PLCD1
812	3	HAVANA	gene	38495342	38534633	+	protein_coding	ACVR2B
813	3	HAVANA	gene	38537618	38583652	+	protein_coding	EXOG
814	3	HAVANA	gene	39093489	39138155	+	protein_coding	WDR48
815	3	HAVANA	gene	39138150	39149854	-	protein_coding	GORASP1
816	3	HAVANA	gene	39424839	39438842	+	protein_coding	SLC25A38
818	3	HAVANA	gene	39850405	40301812	+	protein_coding	MYRIP
819	3	HAVANA	gene	42055294	42267381	+	protein_coding	TRAK1
821	3	HAVANA	gene	42589461	42642572	-	protein_coding	SEC22C
822	3	HAVANA	gene	42623332	42636606	+	protein_coding	SS18L2
823	3	HAVANA	gene	42850906	42949597	+	processed_transcript	RP11-141M3.5
824	3	HAVANA	gene	42850938	43097363	+	protein_coding	KRBOX1
825	3	HAVANA	gene	42850975	42984284	+	protein_coding	KRBOX1
826	3	HAVANA	gene	44283378	44373590	+	protein_coding	TOPAZ1
827	3	HAVANA	gene	44540462	44552128	-	protein_coding	ZNF852
828	3	HAVANA	gene	44956749	45017677	-	protein_coding	ZDHHC3
829	3	HAVANA	gene	45016733	45077558	+	protein_coding	EXOSC7
830	3	HAVANA	gene	45864808	45957534	-	protein_coding	LZTFL1
831	3	HAVANA	gene	45959396	46037316	-	protein_coding	FYCO1
832	3	HAVANA	gene	46477136	46526724	-	protein_coding	LTF
833	3	HAVANA	gene	46742823	46752376	+	protein_coding	TMIE
834	3	HAVANA	gene	46919236	46945287	+	protein_coding	PTH1R
835	3	HAVANA	gene	47455203	47518616	-	protein_coding	SCAP
837	3	HAVANA	gene	47844399	47891685	+	protein_coding	DHX30
838	3	HAVANA	gene	48198636	48229892	-	protein_coding	CDC25A
840	3	HAVANA	gene	48601506	48632700	-	protein_coding	COL7A1
841	3	HAVANA	gene	48701209	48706607	+	antisense	RP11-148G20.1
842	3	HAVANA	gene	48701364	48723797	-	protein_coding	NCKIPSD
843	3	HAVANA	gene	49022482	49027421	-	antisense	RP13-131K19.2
844	3	HAVANA	gene	49061758	49066841	-	protein_coding	IMPDH2
845	3	HAVANA	gene	50337320	50349812	-	protein_coding	HYAL1
847	3	HAVANA	gene	51422478	51426828	+	protein_coding	MANF
848	3	HAVANA	gene	51433298	51534010	-	protein_coding	VPRBP
849	3	HAVANA	gene	52744800	52804965	-	protein_coding	NEK4
850	3	HAVANA	gene	52811603	52826078	+	protein_coding	ITIH1
851	3	HAVANA	gene	53003135	53133469	-	protein_coding	RP11-894J14.5
852	3	HAVANA	gene	53258723	53290068	-	protein_coding	TKT
853	3	HAVANA	gene	53901093	53916229	-	protein_coding	ACTR8
854	3	HAVANA	gene	54156574	55108584	+	protein_coding	CACNA2D3
856	3	HAVANA	gene	55499743	55523973	-	protein_coding	WNT5A
857	3	HAVANA	gene	56591189	56655846	+	protein_coding	CCDC66
858	3	HAVANA	gene	56761446	57113357	-	protein_coding	ARHGEF3
860	3	HAVANA	gene	57327727	57530071	-	protein_coding	DNAH12
861	3	HAVANA	gene	57542003	57552571	+	protein_coding	PDE12
862	3	HAVANA	gene	57994127	58157982	+	protein_coding	FLNB
863	3	HAVANA	gene	58291974	58310422	+	protein_coding	RPP14
864	3	HAVANA	gene	59735036	61237133	-	protein_coding	FHIT
866	3	HAVANA	gene	61547243	62283288	+	protein_coding	PTPRG
867	3	HAVANA	gene	62246540	62355005	-	processed_transcript	PTPRG-AS1
869	3	HAVANA	gene	62304648	62321888	+	protein_coding	C3orf14
870	3	HAVANA	gene	62384022	62861054	-	protein_coding	CADPS
872	3	HAVANA	gene	63213991	63602597	+	protein_coding	SYNPR
874	3	HAVANA	gene	63805038	63834312	+	protein_coding	C3orf49
875	3	HAVANA	gene	63819546	63849579	-	protein_coding	THOC7
876	3	HAVANA	gene	63850233	63989138	+	protein_coding	ATXN7
877	3	HAVANA	gene	64501333	64673676	-	protein_coding	ADAMTS9
879	3	HAVANA	gene	65339200	66024509	-	protein_coding	MAGI1
880	3	HAVANA	gene	66119285	66438540	+	protein_coding	SLC25A26
881	3	HAVANA	gene	69063092	69105773	+	antisense	CTD-2013N24.2
882	3	HAVANA	gene	69068978	69101484	-	protein_coding	TMF1
883	3	HAVANA	gene	69103881	69129559	-	protein_coding	UBA3
884	3	HAVANA	gene	69788586	70017488	+	protein_coding	MITF
885	3	HAVANA	gene	71003844	71633140	-	protein_coding	FOXP1
887	3	HAVANA	gene	71724567	71803924	-	protein_coding	EIF4E3
888	3	HAVANA	gene	73857752	73952017	+	lincRNA	RP11-20B7.1
890	3	HAVANA	gene	75955846	77699115	+	protein_coding	ROBO2
892	3	HAVANA	gene	78646390	79816965	-	protein_coding	ROBO1
894	3	HAVANA	gene	85008132	86123579	+	protein_coding	CADM2
896	3	HAVANA	gene	87276421	87304698	+	protein_coding	CHMP2B
897	3	HAVANA	gene	87308554	87325737	-	protein_coding	POU1F1
898	3	HAVANA	gene	88101094	88199035	-	protein_coding	CGGBP1
899	3	HAVANA	gene	88108424	88188123	+	protein_coding	RP11-159G9.5
900	3	HAVANA	gene	89156674	89531284	+	protein_coding	EPHA3
902	3	HAVANA	gene	96533425	97471304	+	protein_coding	EPHA6
904	3	HAVANA	gene	99357319	99518070	+	protein_coding	COL8A1
906	3	HAVANA	gene	99979844	100044095	+	protein_coding	TBC1D23
908	3	HAVANA	gene	101818088	102198685	+	protein_coding	ZPLD1
910	3	HAVANA	gene	105085753	105295744	+	protein_coding	ALCAM
912	3	HAVANA	gene	106555658	106959488	-	lincRNA	LINC00882
914	3	HAVANA	gene	107241783	107530171	+	protein_coding	BBX
915	3	HAVANA	gene	107559075	107600847	-	lincRNA	LINC00635
916	3	HAVANA	gene	108099216	108248169	-	protein_coding	MYH15
917	3	HAVANA	gene	108308529	108413693	+	protein_coding	DZIP3
918	3	HAVANA	gene	111011566	111384597	+	protein_coding	CD96
919	3	HAVANA	gene	111393523	111565294	+	protein_coding	PLCXD2
920	3	HAVANA	gene	111753690	111800116	+	protein_coding	TMPRSS7
922	3	HAVANA	gene	112251356	112280893	-	protein_coding	ATG3
924	3	HAVANA	gene	112738379	112902148	+	antisense	RP11-572M11.4
926	3	HAVANA	gene	113724680	113807269	+	protein_coding	QTRTD1
927	3	HAVANA	gene	115521235	117716095	-	protein_coding	LSAMP
928	3	HAVANA	gene	117723666	118276515	-	lincRNA	RP11-384F7.1
929	3	HAVANA	gene	118619404	118864915	-	protein_coding	IGSF11
930	3	HAVANA	gene	118864997	118878889	+	protein_coding	C3orf30
931	3	HAVANA	gene	118866222	118906654	+	protein_coding	RP11-484M3.5
932	3	HAVANA	gene	119421869	119485949	+	protein_coding	MAATS1
933	3	HAVANA	gene	119499331	119537332	+	protein_coding	NR1I2
934	3	HAVANA	gene	119883492	120003941	-	protein_coding	GPR156
936	3	HAVANA	gene	121150278	121264853	-	protein_coding	POLQ
938	3	HAVANA	gene	122103023	122131181	+	protein_coding	FAM162A
939	3	HAVANA	gene	122399465	122449687	+	protein_coding	PARP14
940	3	HAVANA	gene	123304389	123363415	+	antisense	MYLK-AS1
942	3	HAVANA	gene	123328896	123603178	-	protein_coding	MYLK
943	3	HAVANA	gene	123798870	124445172	+	protein_coding	KALRN
944	3	HAVANA	gene	125635463	125648867	+	pseudogene	FAM86JP
946	3	HAVANA	gene	127317066	127341276	+	protein_coding	MCM2
948	3	HAVANA	gene	127783621	127872757	-	protein_coding	RUVBL1
949	3	HAVANA	gene	127794653	127797899	+	antisense	RUVBL1-AS1
950	3	HAVANA	gene	128338817	128399918	-	protein_coding	RPN1
951	3	HAVANA	gene	128628709	128721533	-	protein_coding	KIAA1257
952	3	HAVANA	gene	128628717	128690173	-	protein_coding	RP11-723O4.6
953	3	HAVANA	gene	129034235	129045068	+	antisense	H1FX-AS1
955	3	HAVANA	gene	129831393	129839422	+	lincRNA	RP11-77P16.4
957	3	HAVANA	gene	130569439	130735556	+	protein_coding	ATP2C1
958	3	HAVANA	gene	130745694	131069309	+	protein_coding	NEK11
959	3	HAVANA	gene	131181056	131221827	-	protein_coding	MRPL3
960	3	HAVANA	gene	131236675	131239724	+	antisense	RP11-517B11.4
961	3	HAVANA	gene	132276986	132441303	-	protein_coding	NPHP3
963	3	HAVANA	gene	133317019	133380737	-	protein_coding	TOPBP1
964	3	HAVANA	gene	133380842	133473420	+	pseudogene	TFP1
965	3	HAVANA	gene	134204585	134293859	+	protein_coding	CEP63
967	3	HAVANA	gene	135684515	135866733	+	protein_coding	PPP2R3A
969	3	HAVANA	gene	138153428	138200528	+	protein_coding	ESYT3
970	3	HAVANA	gene	139074442	139108574	-	protein_coding	COPB2
971	3	HAVANA	gene	139108657	139302161	+	antisense	RP11-319G6.1
972	3	HAVANA	gene	140947568	141013748	+	protein_coding	ACPL2
974	3	HAVANA	gene	140986195	141085979	-	antisense	RP11-438D8.2
975	3	HAVANA	gene	141594966	141645356	+	protein_coding	ATP1B3
976	3	HAVANA	gene	141637094	141637863	-	antisense	ATP1B3-AS1
977	3	HAVANA	gene	141663277	141868386	-	protein_coding	TFDP2
978	3	HAVANA	gene	142025449	142166904	-	protein_coding	XRN1
979	3	HAVANA	gene	142168077	142297668	-	protein_coding	ATR
980	3	HAVANA	gene	142683339	142779567	+	protein_coding	U2SURP
982	3	HAVANA	gene	142984064	143567373	-	protein_coding	SLC9A9
984	3	HAVANA	gene	145910126	145968966	-	protein_coding	PLSCR4
985	3	HAVANA	gene	148568720	148677899	-	antisense	RP11-680B3.2
987	3	HAVANA	gene	149191761	149221068	+	protein_coding	TM4SF4
989	3	HAVANA	gene	149478892	149686172	-	protein_coding	ANKUB1
991	3	HAVANA	gene	149530495	149679926	+	protein_coding	RNF13
992	3	HAVANA	gene	149956306	149957996	+	lincRNA	RP11-167H9.6
994	3	HAVANA	gene	150259781	150321015	-	protein_coding	SERP1
995	3	HAVANA	gene	150264465	150302029	+	protein_coding	EIF2A
996	3	HAVANA	gene	150421351	150437933	+	antisense	RP11-103G8.2
997	3	HAVANA	gene	150803484	151154860	+	protein_coding	MED12L
999	3	HAVANA	gene	151469231	151645963	-	antisense	RP11-454C18.2
1000	3	HAVANA	gene	152175548	152214602	-	antisense	RP11-362A9.3
1002	3	HAVANA	gene	153990335	154042286	-	protein_coding	DHX36
1004	3	HAVANA	gene	155755490	156256545	+	protein_coding	KCNAB1
1005	3	HAVANA	gene	156864297	156878549	-	protein_coding	CCNL1
1007	3	HAVANA	gene	158449987	158547508	+	protein_coding	MFSD1
1008	3	HAVANA	gene	158680024	159615155	+	protein_coding	IQCJ-SCHIP1
1009	3	HAVANA	gene	158680717	158984096	+	protein_coding	IQCJ
1011	3	HAVANA	gene	159631189	159943086	-	antisense	IL12A-AS1
1013	3	HAVANA	gene	159945241	160167617	-	protein_coding	RP11-432B6.3
1014	3	HAVANA	gene	160150233	160203561	-	protein_coding	TRIM59
1015	3	HAVANA	gene	160212783	160283376	-	protein_coding	KPNA4
1016	3	HAVANA	gene	161144215	161166030	+	lincRNA	RP11-3P17.4
1017	3	HAVANA	gene	164924748	165373211	+	lincRNA	RP11-85M11.2
1018	3	HAVANA	gene	166958075	167099134	-	protein_coding	ZBBX
1019	3	HAVANA	gene	167110584	167126307	+	lincRNA	RP11-576M8.2
1020	3	HAVANA	gene	167584423	167601170	+	lincRNA	RP11-298O21.2
1021	3	HAVANA	gene	167726465	167813763	-	protein_coding	GOLIM4
1022	3	HAVANA	gene	168801287	169381406	-	protein_coding	MECOM
1023	3	HAVANA	gene	171318195	171528740	-	protein_coding	PLD1
1024	3	HAVANA	gene	172468472	172539264	+	protein_coding	ECT2
1026	3	HAVANA	gene	177990720	178562217	+	protein_coding	KCNMB2
1028	3	HAVANA	gene	179306073	179322442	-	protein_coding	MRPL47
1029	3	HAVANA	gene	180320646	180588793	-	protein_coding	CCDC39
1031	3	HAVANA	gene	182733006	182833863	-	protein_coding	MCCC1
1032	3	HAVANA	gene	182895831	183146566	-	protein_coding	MCF2L2
1033	3	HAVANA	gene	183547173	183602721	-	protein_coding	PARL
1035	3	HAVANA	gene	183852826	184402546	+	protein_coding	EIF2B5
1036	3	HAVANA	gene	184032283	184053146	+	protein_coding	EIF4G1
1039	3	HAVANA	gene	184529931	184770402	+	protein_coding	VPS8
1040	3	HAVANA	gene	185300284	185351339	+	protein_coding	SENP2
1041	3	HAVANA	gene	185633694	185655924	-	protein_coding	TRA2B
1043	3	HAVANA	gene	186263862	186288332	-	protein_coding	TBCCD1
1045	3	HAVANA	gene	186507669	186524847	-	protein_coding	RFC4
1046	3	HAVANA	gene	186838736	186898696	-	protein_coding	RPL39L
1048	3	HAVANA	gene	187513975	187523046	+	lincRNA	RP11-30O15.1
1050	3	HAVANA	gene	188665003	189043093	+	protein_coding	TPRG1
1051	3	HAVANA	gene	188956475	188958383	-	antisense	TPRG1-AS2
1054	3	HAVANA	gene	189674517	189840226	-	protein_coding	LEPREL1
1056	3	HAVANA	gene	191857184	192485553	-	protein_coding	FGF12
1058	3	HAVANA	gene	193310933	193415612	+	protein_coding	OPA1
1060	3	HAVANA	gene	194308402	194354418	-	protein_coding	TMEM44
1061	3	HAVANA	gene	194353652	194366130	+	antisense	AC046143.3
1062	3	HAVANA	gene	194995465	195163807	-	protein_coding	ACAP2
1064	3	HAVANA	gene	195384933	195460422	+	lincRNA	LINC00969
1065	3	HAVANA	gene	195384967	195412775	+	pseudogene	SDHAP2
1066	3	HAVANA	gene	195686619	195717189	-	pseudogene	SDHAP1
1068	3	HAVANA	gene	196673214	196695931	-	protein_coding	PIGZ
1069	3	HAVANA	gene	196715492	196756687	-	protein_coding	MFI2
1070	3	HAVANA	gene	197780393	197807591	-	pseudogene	ANKRD18DP
1071	4	HAVANA	gene	1619642	1686029	-	protein_coding	FAM53A
1072	4	HAVANA	gene	1813206	1857974	-	protein_coding	LETM1
1073	4	HAVANA	gene	2463947	2627047	+	protein_coding	RNF4
1075	4	HAVANA	gene	2936626	2963465	+	antisense	NOP14-AS1
1076	4	HAVANA	gene	2939660	2965112	-	protein_coding	NOP14
1077	4	HAVANA	gene	3065198	3076241	-	antisense	HTT-AS
1078	4	HAVANA	gene	3246096	3273465	+	protein_coding	MSANTD1
1080	4	HAVANA	gene	3508103	3534286	-	protein_coding	LRPAP1
1082	4	HAVANA	gene	5712924	5830772	+	protein_coding	EVC
1083	4	HAVANA	gene	5749811	5894785	-	protein_coding	CRMP1
1084	4	HAVANA	gene	6576902	6625089	+	protein_coding	MAN2B2
1085	4	HAVANA	gene	9350619	9352211	+	protein_coding	USP17L28
1086	4	HAVANA	gene	10069713	10074643	-	sense_overlapping	RP11-448G15.3
1087	4	HAVANA	gene	10075963	10118573	-	protein_coding	WDR1
1088	4	HAVANA	gene	11627338	11815582	+	lincRNA	RP11-281P23.2
1089	4	HAVANA	gene	11742572	11771092	-	lincRNA	RP11-74M11.2
1092	4	HAVANA	gene	13570362	13629347	-	protein_coding	BOD1L1
1093	4	HAVANA	gene	15606162	15683302	-	protein_coding	FBXL5
1095	4	HAVANA	gene	16228286	16321763	+	antisense	TAPT1-AS1
1097	4	HAVANA	gene	17461884	17513857	-	protein_coding	QDPR
1099	4	HAVANA	gene	20697905	20754530	+	protein_coding	PACRGL
1101	4	HAVANA	gene	20730239	21950422	-	protein_coding	KCNIP4
1102	4	HAVANA	gene	22694537	22821198	+	polymorphic_pseudogene	GBA3
1103	4	HAVANA	gene	25378835	25420120	+	protein_coding	ANAPC4
1105	4	HAVANA	gene	25749055	25865382	-	protein_coding	SEL1L3
1106	4	HAVANA	gene	25863452	25931435	+	protein_coding	SMIM20
1107	4	HAVANA	gene	35949843	36246131	-	protein_coding	ARAP2
1108	4	HAVANA	gene	36283244	36347378	+	protein_coding	DTHD1
1109	4	HAVANA	gene	36312812	36394032	-	antisense	RP11-431M7.2
1110	4	HAVANA	gene	37245842	37451087	+	protein_coding	KIAA1239
1112	4	HAVANA	gene	38869298	38947360	+	protein_coding	FAM114A1
1113	4	HAVANA	gene	39408473	39453156	+	protein_coding	KLB
1115	4	HAVANA	gene	40812044	41218731	-	protein_coding	APBB2
1117	4	HAVANA	gene	41258430	41270472	+	protein_coding	UCHL1
1119	4	HAVANA	gene	41937137	41962589	+	protein_coding	TMEM33
1121	4	HAVANA	gene	42410390	42659122	-	protein_coding	ATP8A1
1123	4	HAVANA	gene	44684217	44728612	-	protein_coding	GNPDA2
1125	4	HAVANA	gene	46736844	46911252	-	protein_coding	COX7B2
1127	4	HAVANA	gene	47596015	47840123	-	protein_coding	CORIN
1129	4	HAVANA	gene	47849257	47916653	-	protein_coding	NFXL1
1130	4	HAVANA	gene	48068410	48136273	-	protein_coding	TXK
1131	4	HAVANA	gene	52784938	52785547	+	lincRNA	RP11-365H22.2
1132	4	HAVANA	gene	53739149	54232242	-	protein_coding	SCFD2
1134	4	HAVANA	gene	54243810	55161439	+	protein_coding	FIP1L1
1135	4	HAVANA	gene	55095264	55164414	+	protein_coding	PDGFRA
1138	4	HAVANA	gene	56262124	56319564	+	protein_coding	TMEM165
1140	4	HAVANA	gene	57301907	57327534	+	protein_coding	PAICS
1141	4	HAVANA	gene	57371509	57390614	+	protein_coding	ARL9
1142	4	HAVANA	gene	57843888	57897334	+	protein_coding	POLR2B
1143	4	HAVANA	gene	61616304	61655717	+	lincRNA	RP11-593F5.2
1144	4	HAVANA	gene	65477092	65477606	-	pseudogene	RP11-63H19.6
1146	4	HAVANA	gene	68283023	68333969	-	lincRNA	RP11-584P21.2
1147	4	HAVANA	gene	68566998	68946670	+	antisense	UBA6-AS1
1148	4	HAVANA	gene	69048010	69078188	+	pseudogene	FTLP10
1149	4	HAVANA	gene	69049802	69093787	-	pseudogene	RP11-646E20.6
1150	4	ENSEMBL	gene	69054242	69083798	-	protein_coding	TMPRSS11BNL
1151	4	HAVANA	gene	71494461	71552533	+	protein_coding	ENAM
1152	4	HAVANA	gene	73939093	74124515	-	protein_coding	ANKRD17
1154	4	HAVANA	gene	74979891	75168816	+	protein_coding	MTHFD2L
1155	4	HAVANA	gene	75669969	75719896	-	protein_coding	BTC
1156	4	HAVANA	gene	76503215	76555900	-	protein_coding	CDKL2
1157	4	HAVANA	gene	77035812	77069668	-	protein_coding	NUP54
1159	4	HAVANA	gene	78078304	78354542	+	protein_coding	CCNG2
1161	4	HAVANA	gene	81187753	81257834	+	protein_coding	FGF5
1162	4	HAVANA	gene	81256874	81884910	+	protein_coding	C4orf22
1163	4	HAVANA	gene	83295454	83305180	+	antisense	RP11-127B20.3
1164	4	HAVANA	gene	83550692	83720010	-	protein_coding	SCD5
1165	4	HAVANA	gene	83739814	83822319	-	protein_coding	SEC31A
1166	4	HAVANA	gene	84213614	84256306	-	protein_coding	HPSE
1167	4	HAVANA	gene	84377085	84390888	+	protein_coding	MRPS18C
1168	4	HAVANA	gene	86396267	86923823	+	protein_coding	ARHGAP24
1170	4	HAVANA	gene	86936276	87515284	-	protein_coding	MAPK10
1172	4	HAVANA	gene	87797358	87857354	-	protein_coding	C4orf36
1174	4	HAVANA	gene	87856154	88062206	+	protein_coding	AFF1
1175	4	HAVANA	gene	88928820	88998929	+	protein_coding	PKD2
1177	4	HAVANA	gene	89442199	89629693	+	protein_coding	HERC3
1179	4	HAVANA	gene	91048686	92523064	+	protein_coding	CCSER1
1181	4	HAVANA	gene	93225550	94695707	+	protein_coding	GRID2
1183	4	HAVANA	gene	95128762	95212443	+	protein_coding	SMARCAD1
1184	4	HAVANA	gene	95219686	95264027	-	protein_coding	HPGDS
1185	4	HAVANA	gene	95373037	95589377	+	protein_coding	PDLIM5
1187	4	HAVANA	gene	95679119	96079599	+	protein_coding	BMPR1B
1189	4	HAVANA	gene	97231852	97740015	+	lincRNA	RP11-145G20.1
1191	4	HAVANA	gene	98105244	99064391	-	protein_coding	STPG2
1193	4	HAVANA	gene	100010008	100222513	+	antisense	RP11-696N14.1
1195	4	HAVANA	gene	100817405	100867883	-	protein_coding	DNAJB14
1197	4	HAVANA	gene	103172198	103352415	-	protein_coding	SLC39A8
1198	4	HAVANA	gene	103339759	103371167	-	lincRNA	RP11-499E18.1
1201	4	HAVANA	gene	104000592	104021040	-	protein_coding	BDH2
1203	4	HAVANA	gene	104882773	104958080	+	lincRNA	RP11-703G6.1
1205	4	HAVANA	gene	106473777	106629250	+	protein_coding	ARHGEF38
1206	4	HAVANA	gene	106603784	106817143	-	protein_coding	INTS12
1207	4	HAVANA	gene	106962756	107242652	-	protein_coding	TBCK
1208	4	HAVANA	gene	107236701	107270383	+	protein_coding	AIMP1
1209	4	HAVANA	gene	107842959	108204963	-	protein_coding	DKK2
1210	4	HAVANA	gene	109459346	109541616	-	lincRNA	RPL34-AS1
1212	4	HAVANA	gene	110268631	110354973	-	antisense	SEC24B-AS1
1214	4	HAVANA	gene	110834040	110933422	+	protein_coding	EGF
1216	4	HAVANA	gene	112748037	112993854	-	lincRNA	RP11-269F21.3
1218	4	HAVANA	gene	113739265	114304896	+	protein_coding	ANK2
1220	4	HAVANA	gene	116843171	117218316	-	lincRNA	RP11-659O3.1
1221	4	HAVANA	gene	119201193	119274158	-	protein_coding	PRSS12
1222	4	HAVANA	gene	120375946	120473180	+	pseudogene	RP11-33B1.1
1223	4	HAVANA	gene	120415550	120550146	-	protein_coding	PDE5A
1226	4	HAVANA	gene	120976763	120988229	-	protein_coding	MAD2L1
1228	4	HAVANA	gene	122737599	122745087	-	protein_coding	CCNA2
1230	4	HAVANA	gene	123844229	124240605	+	protein_coding	SPATA5
1232	4	HAVANA	gene	124571422	124851561	+	lincRNA	RP11-93L9.1
1234	4	HAVANA	gene	130220330	130226177	-	lincRNA	RP11-419L4.1
1235	4	HAVANA	gene	137717877	138133953	-	lincRNA	RP11-138I17.1
