gene	snp	evidence	group	TAD_ID	chromosome	TAD_Start	TAD_End	TAD_UCSC	go_id	go_name	pval	adjP
BIK	rs5759167	gwas_tad	prostate_cancer	2924	chr22	43030056	43510056	chr22:43030056-43510056	GO:0061458	reproductive system development	0.00012071618280406999	0.0418745866426889
SHROOM2	rs2405942	gwas	prostate_cancer	2936	chrX	8720000	10120000	chrX:8720000-10120000				
CXorf67	rs1327301	gwas	prostate_cancer	2969	chrX	50823260	51223260	chrX:50823260-51223260				
XAGE3	rs2807031	gwas	prostate_cancer	2971	chrX	52543275	52943275	chrX:52543275-52943275				
AR	rs5919432	gwas_tad	prostate_cancer	2981	chrX	65963275	67403275	chrX:65963275-67403275	GO:0061458	reproductive system development	0.00012071618280406999	0.0418745866426889
SLC7A3	rs6625711	gwas	prostate_cancer	2985	chrX	69443275	70203275	chrX:69443275-70203275				
KIF4A	rs6625711	tad	prostate_cancer	2985	chrX	69443275	70203275	chrX:69443275-70203275	GO:0002478	antigen processing and presentation of exogenous peptide antigen	4.812130587339422e-07	0.00254666230762379
TEX11	rs6625711	tad	prostate_cancer	2985	chrX	69443275	70203275	chrX:69443275-70203275	GO:0061458	reproductive system development	0.00012071618280406999	0.0418745866426889
NLGN3	rs4844289	gwas	prostate_cancer	2986	chrX	70203275	70923275	chrX:70203275-70923275				
FOXO4	rs4844289	tad	prostate_cancer	2986	chrX	70203275	70923275	chrX:70203275-70923275	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
MED12	rs4844289	tad	prostate_cancer	2986	chrX	70203275	70923275	chrX:70203275-70923275	GO:0003401	axis elongation	7.168513973643259e-05	0.0382451007647977
OGT	rs4844289	tad	prostate_cancer	2986	chrX	70203275	70923275	chrX:70203275-70923275	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
