userId	geneSymbol	geneName	entrezgene	gLink
KCNH3	KCNH3	potassium voltage-gated channel subfamily H member 3	23416	https://www.ncbi.nlm.nih.gov/gene/?term=23416
MCRS1	MCRS1	microspherule protein 1	10445	https://www.ncbi.nlm.nih.gov/gene/?term=10445
FAM186B	FAM186B	family with sequence similarity 186 member B	84070	https://www.ncbi.nlm.nih.gov/gene/?term=84070
RNU6-834P	RNU6-834P	RNA, U6 small nuclear 834, pseudogene	106479935	https://www.ncbi.nlm.nih.gov/gene/?term=106479935
POLR2KP1	POLR2KP1	RNA polymerase II subunit K pseudogene 1	100874515	https://www.ncbi.nlm.nih.gov/gene/?term=100874515
HIGD1AP9	HIGD1AP9	HIG1 hypoxia inducible domain family member 1A pseudogene 9	100874452	https://www.ncbi.nlm.nih.gov/gene/?term=100874452
PRPF40B	PRPF40B	pre-mRNA processing factor 40 homolog B	25766	https://www.ncbi.nlm.nih.gov/gene/?term=25766
FMNL3	FMNL3	formin like 3	91010	https://www.ncbi.nlm.nih.gov/gene/?term=91010
HAUS8P1	HAUS8P1	HAUS augmin like complex subunit 8 pseudogene 1	100420901	https://www.ncbi.nlm.nih.gov/gene/?term=100420901
GLULP5	GLULP5	glutamate-ammonia ligase pseudogene 5	100421694	https://www.ncbi.nlm.nih.gov/gene/?term=100421694
TBX5	TBX5	T-box 5	6910	https://www.ncbi.nlm.nih.gov/gene/?term=6910
TBX5-AS1	TBX5-AS1	TBX5 antisense RNA 1	255480	https://www.ncbi.nlm.nih.gov/gene/?term=255480
RN7SKP216	RN7SKP216	RNA, 7SK small nuclear pseudogene 216	106479190	https://www.ncbi.nlm.nih.gov/gene/?term=106479190
RBM19	RBM19	RNA binding motif protein 19	9904	https://www.ncbi.nlm.nih.gov/gene/?term=9904
BORA	BORA	bora, aurora kinase A activator	79866	https://www.ncbi.nlm.nih.gov/gene/?term=79866
DIS3	DIS3	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease	22894	https://www.ncbi.nlm.nih.gov/gene/?term=22894
PIBF1	PIBF1	progesterone immunomodulatory binding factor 1	10464	https://www.ncbi.nlm.nih.gov/gene/?term=10464
RNU6-79P	RNU6-79P	RNA, U6 small nuclear 79, pseudogene	100873779	https://www.ncbi.nlm.nih.gov/gene/?term=100873779
PSMD10P3	PSMD10P3	proteasome 26S subunit, non-ATPase, 10 pseudogene 3	338091	https://www.ncbi.nlm.nih.gov/gene/?term=338091
KLF5	KLF5	Kruppel like factor 5	688	https://www.ncbi.nlm.nih.gov/gene/?term=688
FABP5P1	FABP5P1	fatty acid binding protein 5 pseudogene 1	387934	https://www.ncbi.nlm.nih.gov/gene/?term=387934
RNU6-66P	RNU6-66P	RNA, U6 small nuclear 66, pseudogene	100873770	https://www.ncbi.nlm.nih.gov/gene/?term=100873770
RNU4-10P	RNU4-10P	RNA, U4 small nuclear 10, pseudogene	100862676	https://www.ncbi.nlm.nih.gov/gene/?term=100862676
RNY1P8	RNY1P8	RNY1 pseudogene 8	100873807	https://www.ncbi.nlm.nih.gov/gene/?term=100873807
MARK2P12	MARK2P12	microtubule affinity regulating kinase 2 pseudogene 12	100421565	https://www.ncbi.nlm.nih.gov/gene/?term=100421565
LINC00393	LINC00393	long intergenic non-protein coding RNA 393	100874156	https://www.ncbi.nlm.nih.gov/gene/?term=100874156
LINC00392	LINC00392	long intergenic non-protein coding RNA 392	100874155	https://www.ncbi.nlm.nih.gov/gene/?term=100874155
KLF12	KLF12	Kruppel like factor 12	11278	https://www.ncbi.nlm.nih.gov/gene/?term=11278
PTGER2	PTGER2	prostaglandin E receptor 2	5732	https://www.ncbi.nlm.nih.gov/gene/?term=5732
TXNDC16	TXNDC16	thioredoxin domain containing 16	57544	https://www.ncbi.nlm.nih.gov/gene/?term=57544
GPR137C	GPR137C	G protein-coupled receptor 137C	283554	https://www.ncbi.nlm.nih.gov/gene/?term=283554
PSMC6	PSMC6	proteasome 26S subunit, ATPase 6	5706	https://www.ncbi.nlm.nih.gov/gene/?term=5706
STYX	STYX	serine/threonine/tyrosine interacting protein	6815	https://www.ncbi.nlm.nih.gov/gene/?term=6815
GNPNAT1	GNPNAT1	glucosamine-phosphate N-acetyltransferase 1	64841	https://www.ncbi.nlm.nih.gov/gene/?term=64841
FERMT2	FERMT2	fermitin family member 2	10979	https://www.ncbi.nlm.nih.gov/gene/?term=10979
DDHD1	DDHD1	DDHD domain containing 1	80821	https://www.ncbi.nlm.nih.gov/gene/?term=80821
SIX1	SIX1	SIX homeobox 1	6495	https://www.ncbi.nlm.nih.gov/gene/?term=6495
SIX4	SIX4	SIX homeobox 4	51804	https://www.ncbi.nlm.nih.gov/gene/?term=51804
MNAT1	MNAT1	MNAT1, CDK activating kinase assembly factor	4331	https://www.ncbi.nlm.nih.gov/gene/?term=4331
SRMP2	SRMP2	spermidine synthase pseudogene 2	326269	https://www.ncbi.nlm.nih.gov/gene/?term=326269
TRMT5	TRMT5	tRNA methyltransferase 5	57570	https://www.ncbi.nlm.nih.gov/gene/?term=57570
RNU6-398P	RNU6-398P	RNA, U6 small nuclear 398, pseudogene	106479742	https://www.ncbi.nlm.nih.gov/gene/?term=106479742
SLC38A6	SLC38A6	solute carrier family 38 member 6	145389	https://www.ncbi.nlm.nih.gov/gene/?term=145389
TMEM30B	TMEM30B	transmembrane protein 30B	161291	https://www.ncbi.nlm.nih.gov/gene/?term=161291
PRKCH	PRKCH	protein kinase C eta	5583	https://www.ncbi.nlm.nih.gov/gene/?term=5583
RN7SL706P	RN7SL706P	RNA, 7SL, cytoplasmic 706, pseudogene	106479480	https://www.ncbi.nlm.nih.gov/gene/?term=106479480
RN7SL108P	RN7SL108P	RNA, 7SL, cytoplasmic 108, pseudogene	106480950	https://www.ncbi.nlm.nih.gov/gene/?term=106480950
PPIAP6	PPIAP6	peptidylprolyl isomerase A pseudogene 6	319128	https://www.ncbi.nlm.nih.gov/gene/?term=319128
RNU6-921P	RNU6-921P	RNA, U6 small nuclear 921, pseudogene	106479973	https://www.ncbi.nlm.nih.gov/gene/?term=106479973
ZFP36L1	ZFP36L1	ZFP36 ring finger protein like 1	677	https://www.ncbi.nlm.nih.gov/gene/?term=677
RAD51B	RAD51B	RAD51 paralog B	5890	https://www.ncbi.nlm.nih.gov/gene/?term=5890
CCDC177	CCDC177	coiled-coil domain containing 177	56936	https://www.ncbi.nlm.nih.gov/gene/?term=56936
SRSF5	SRSF5	serine and arginine rich splicing factor 5	6430	https://www.ncbi.nlm.nih.gov/gene/?term=6430
SLC10A1	SLC10A1	solute carrier family 10 member 1	6554	https://www.ncbi.nlm.nih.gov/gene/?term=6554
SNORA11	SNORA11	small nucleolar RNA, H/ACA box 11	677799	https://www.ncbi.nlm.nih.gov/gene/?term=677799
SMOC1	SMOC1	SPARC related modular calcium binding 1	64093	https://www.ncbi.nlm.nih.gov/gene/?term=64093
RPL7AP6	RPL7AP6	ribosomal protein L7a pseudogene 6	326310	https://www.ncbi.nlm.nih.gov/gene/?term=326310
SLC8A3	SLC8A3	solute carrier family 8 member A3	6547	https://www.ncbi.nlm.nih.gov/gene/?term=6547
ADAM21P1	ADAM21P1	ADAM metallopeptidase domain 21 pseudogene 1	145241	https://www.ncbi.nlm.nih.gov/gene/?term=145241
COX16	COX16	cytochrome c oxidase assembly factor COX16	51241	https://www.ncbi.nlm.nih.gov/gene/?term=51241
SYNJ2BP-COX16	SYNJ2BP-COX16	SYNJ2BP-COX16 readthrough	100529257	https://www.ncbi.nlm.nih.gov/gene/?term=100529257
RNU2-51P	RNU2-51P	RNA, U2 small nuclear 51, pseudogene	106480415	https://www.ncbi.nlm.nih.gov/gene/?term=106480415
SYNJ2BP	SYNJ2BP	synaptojanin 2 binding protein	55333	https://www.ncbi.nlm.nih.gov/gene/?term=55333
ADAM21	ADAM21	ADAM metallopeptidase domain 21	8747	https://www.ncbi.nlm.nih.gov/gene/?term=8747
ADAM20P1	ADAM20P1	ADAM metallopeptidase domain 20 pseudogene 1	317760	https://www.ncbi.nlm.nih.gov/gene/?term=317760
RNU6-659P	RNU6-659P	RNA, U6 small nuclear 659, pseudogene	106481390	https://www.ncbi.nlm.nih.gov/gene/?term=106481390
ADAM20	ADAM20	ADAM metallopeptidase domain 20	8748	https://www.ncbi.nlm.nih.gov/gene/?term=8748
MED6	MED6	mediator complex subunit 6	10001	https://www.ncbi.nlm.nih.gov/gene/?term=10001
KRT18P7	KRT18P7	keratin 18 pseudogene 7	100418877	https://www.ncbi.nlm.nih.gov/gene/?term=100418877
RN7SL77P	RN7SL77P	RNA, 7SL, cytoplasmic 77, pseudogene	106479252	https://www.ncbi.nlm.nih.gov/gene/?term=106479252
TTC9	TTC9	tetratricopeptide repeat domain 9	23508	https://www.ncbi.nlm.nih.gov/gene/?term=23508
MAP3K9	MAP3K9	mitogen-activated protein kinase kinase kinase 9	4293	https://www.ncbi.nlm.nih.gov/gene/?term=4293
PLEKHD1	PLEKHD1	pleckstrin homology and coiled-coil domain containing D1	400224	https://www.ncbi.nlm.nih.gov/gene/?term=400224
RNU6-208P	RNU6-208P	RNA, U6 small nuclear 208, pseudogene	106479658	https://www.ncbi.nlm.nih.gov/gene/?term=106479658
SNORA70D	SNORA70D	small nucleolar RNA, H/ACA box 70D	100379141	https://www.ncbi.nlm.nih.gov/gene/?term=100379141
AP1G1	AP1G1	adaptor related protein complex 1 subunit gamma 1	164	https://www.ncbi.nlm.nih.gov/gene/?term=164
SNORD71	SNORD71	small nucleolar RNA, C/D box 71	692111	https://www.ncbi.nlm.nih.gov/gene/?term=692111
ATXN1L	ATXN1L	ataxin 1 like	342371	https://www.ncbi.nlm.nih.gov/gene/?term=342371
IST1	IST1	IST1, ESCRT-III associated factor	9798	https://www.ncbi.nlm.nih.gov/gene/?term=9798
ZNF821	ZNF821	zinc finger protein 821	55565	https://www.ncbi.nlm.nih.gov/gene/?term=55565
PKD1L3	PKD1L3	polycystin 1 like 3, transient receptor potential channel interacting	342372	https://www.ncbi.nlm.nih.gov/gene/?term=342372
RPL39P31	RPL39P31	ribosomal protein L39 pseudogene 31	100271525	https://www.ncbi.nlm.nih.gov/gene/?term=100271525
DHODH	DHODH	dihydroorotate dehydrogenase (quinone)	1723	https://www.ncbi.nlm.nih.gov/gene/?term=1723
PHLPP2	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2	23035	https://www.ncbi.nlm.nih.gov/gene/?term=23035
TXNL4B	TXNL4B	thioredoxin like 4B	54957	https://www.ncbi.nlm.nih.gov/gene/?term=54957
ZNHIT3	ZNHIT3	zinc finger HIT-type containing 3	9326	https://www.ncbi.nlm.nih.gov/gene/?term=9326
RNA5SP439	RNA5SP439	RNA, 5S ribosomal pseudogene 439	106479014	https://www.ncbi.nlm.nih.gov/gene/?term=106479014
MYO19	MYO19	myosin XIX	80179	https://www.ncbi.nlm.nih.gov/gene/?term=80179
PIGW	PIGW	phosphatidylinositol glycan anchor biosynthesis class W	284098	https://www.ncbi.nlm.nih.gov/gene/?term=284098
GGNBP2	GGNBP2	gametogenetin binding protein 2	79893	https://www.ncbi.nlm.nih.gov/gene/?term=79893
DHRS11	DHRS11	dehydrogenase/reductase 11	79154	https://www.ncbi.nlm.nih.gov/gene/?term=79154
MRM1	MRM1	mitochondrial rRNA methyltransferase 1	79922	https://www.ncbi.nlm.nih.gov/gene/?term=79922
LHX1	LHX1	LIM homeobox 1	3975	https://www.ncbi.nlm.nih.gov/gene/?term=3975
AATF	AATF	apoptosis antagonizing transcription factor	26574	https://www.ncbi.nlm.nih.gov/gene/?term=26574
MIR2909	MIR2909	microRNA 2909	100422969	https://www.ncbi.nlm.nih.gov/gene/?term=100422969
ACACA	ACACA	acetyl-CoA carboxylase alpha	31	https://www.ncbi.nlm.nih.gov/gene/?term=31
HMGB1P24	HMGB1P24	high mobility group box 1 pseudogene 24	100420063	https://www.ncbi.nlm.nih.gov/gene/?term=100420063
C17orf78	C17orf78	chromosome 17 open reading frame 78	284099	https://www.ncbi.nlm.nih.gov/gene/?term=284099
TADA2A	TADA2A	transcriptional adaptor 2A	6871	https://www.ncbi.nlm.nih.gov/gene/?term=6871
DUSP14	DUSP14	dual specificity phosphatase 14	11072	https://www.ncbi.nlm.nih.gov/gene/?term=11072
SYNRG	SYNRG	synergin gamma	11276	https://www.ncbi.nlm.nih.gov/gene/?term=11276
DDX52	DDX52	DExD-box helicase 52	11056	https://www.ncbi.nlm.nih.gov/gene/?term=11056
HNF1B	HNF1B	HNF1 homeobox B	6928	https://www.ncbi.nlm.nih.gov/gene/?term=6928
RNU6-489P	RNU6-489P	RNA, U6 small nuclear 489, pseudogene	106481334	https://www.ncbi.nlm.nih.gov/gene/?term=106481334
TBC1D3F	TBC1D3F	TBC1 domain family member 3F	84218	https://www.ncbi.nlm.nih.gov/gene/?term=84218
TBC1D3H	TBC1D3H	TBC1 domain family member 3H	729877	https://www.ncbi.nlm.nih.gov/gene/?term=729877
TBC1D3G	TBC1D3G	TBC1 domain family member 3G	101060321	https://www.ncbi.nlm.nih.gov/gene/?term=101060321
UBE2Z	UBE2Z	ubiquitin conjugating enzyme E2 Z	65264	https://www.ncbi.nlm.nih.gov/gene/?term=65264
SNF8	SNF8	SNF8, ESCRT-II complex subunit	11267	https://www.ncbi.nlm.nih.gov/gene/?term=11267
RNU1-42P	RNU1-42P	RNA, U1 small nuclear 42, pseudogene	106481609	https://www.ncbi.nlm.nih.gov/gene/?term=106481609
GIP	GIP	gastric inhibitory polypeptide	2695	https://www.ncbi.nlm.nih.gov/gene/?term=2695
IGF2BP1	IGF2BP1	insulin like growth factor 2 mRNA binding protein 1	10642	https://www.ncbi.nlm.nih.gov/gene/?term=10642
RNU6-826P	RNU6-826P	RNA, U6 small nuclear 826, pseudogene	106479931	https://www.ncbi.nlm.nih.gov/gene/?term=106479931
B4GALNT2	B4GALNT2	beta-1,4-N-acetyl-galactosaminyltransferase 2	124872	https://www.ncbi.nlm.nih.gov/gene/?term=124872
GNGT2	GNGT2	G protein subunit gamma transducin 2	2793	https://www.ncbi.nlm.nih.gov/gene/?term=2793
ABI3	ABI3	ABI family member 3	51225	https://www.ncbi.nlm.nih.gov/gene/?term=51225
PHOSPHO1	PHOSPHO1	phosphoethanolamine/phosphocholine phosphatase	162466	https://www.ncbi.nlm.nih.gov/gene/?term=162466
ZNF652	ZNF652	zinc finger protein 652	22834	https://www.ncbi.nlm.nih.gov/gene/?term=22834
PHB	PHB	prohibitin	5245	https://www.ncbi.nlm.nih.gov/gene/?term=5245
NGFR	NGFR	nerve growth factor receptor	4804	https://www.ncbi.nlm.nih.gov/gene/?term=4804
NXPH3	NXPH3	neurexophilin 3	11248	https://www.ncbi.nlm.nih.gov/gene/?term=11248
SPOP	SPOP	speckle type BTB/POZ protein	8405	https://www.ncbi.nlm.nih.gov/gene/?term=8405
SLC35B1	SLC35B1	solute carrier family 35 member B1	10237	https://www.ncbi.nlm.nih.gov/gene/?term=10237
FAM117A	FAM117A	family with sequence similarity 117 member A	81558	https://www.ncbi.nlm.nih.gov/gene/?term=81558
KAT7	KAT7	lysine acetyltransferase 7	11143	https://www.ncbi.nlm.nih.gov/gene/?term=11143
TAC4	TAC4	tachykinin 4	255061	https://www.ncbi.nlm.nih.gov/gene/?term=255061
RNU6-1313P	RNU6-1313P	RNA, U6 small nuclear 1313, pseudogene	106480139	https://www.ncbi.nlm.nih.gov/gene/?term=106480139
DLX4	DLX4	distal-less homeobox 4	1748	https://www.ncbi.nlm.nih.gov/gene/?term=1748
DLX3	DLX3	distal-less homeobox 3	1747	https://www.ncbi.nlm.nih.gov/gene/?term=1747
ITGA3	ITGA3	integrin subunit alpha 3	3675	https://www.ncbi.nlm.nih.gov/gene/?term=3675
PDK2	PDK2	pyruvate dehydrogenase kinase 2	5164	https://www.ncbi.nlm.nih.gov/gene/?term=5164
SAMD14	SAMD14	sterile alpha motif domain containing 14	201191	https://www.ncbi.nlm.nih.gov/gene/?term=201191
PPP1R9B	PPP1R9B	protein phosphatase 1 regulatory subunit 9B	84687	https://www.ncbi.nlm.nih.gov/gene/?term=84687
SGCA	SGCA	sarcoglycan alpha	6442	https://www.ncbi.nlm.nih.gov/gene/?term=6442
HILS1	HILS1	histone linker H1 domain, spermatid-specific 1 (pseudogene)	373861	https://www.ncbi.nlm.nih.gov/gene/?term=373861
COL1A1	COL1A1	collagen type I alpha 1 chain	1277	https://www.ncbi.nlm.nih.gov/gene/?term=1277
SUMO2P7	SUMO2P7	SUMO2 pseudogene 7	100131823	https://www.ncbi.nlm.nih.gov/gene/?term=100131823
TMEM92	TMEM92	transmembrane protein 92	162461	https://www.ncbi.nlm.nih.gov/gene/?term=162461
XYLT2	XYLT2	xylosyltransferase 2	64132	https://www.ncbi.nlm.nih.gov/gene/?term=64132
CASC17	CASC17	cancer susceptibility 17	101928165	https://www.ncbi.nlm.nih.gov/gene/?term=101928165
RNU7-155P	RNU7-155P	RNA, U7 small nuclear 155 pseudogene	106480825	https://www.ncbi.nlm.nih.gov/gene/?term=106480825
SOX9	SOX9	SRY-box 9	6662	https://www.ncbi.nlm.nih.gov/gene/?term=6662
LINC00511	LINC00511	long intergenic non-protein coding RNA 511	400619	https://www.ncbi.nlm.nih.gov/gene/?term=400619
RNA5SP461	RNA5SP461	RNA, 5S ribosomal pseudogene 461	100873705	https://www.ncbi.nlm.nih.gov/gene/?term=100873705
LINC01029	LINC01029	long intergenic non-protein coding RNA 1029	101927715	https://www.ncbi.nlm.nih.gov/gene/?term=101927715
RNU6-655P	RNU6-655P	RNA, U6 small nuclear 655, pseudogene	106479856	https://www.ncbi.nlm.nih.gov/gene/?term=106479856
SALL3	SALL3	spalt like transcription factor 3	27164	https://www.ncbi.nlm.nih.gov/gene/?term=27164
ATP9B	ATP9B	ATPase phospholipid transporting 9B (putative)	374868	https://www.ncbi.nlm.nih.gov/gene/?term=374868
SIPA1L3	SIPA1L3	signal induced proliferation associated 1 like 3	23094	https://www.ncbi.nlm.nih.gov/gene/?term=23094
RN7SL663P	RN7SL663P	RNA, 7SL, cytoplasmic 663, pseudogene	106481103	https://www.ncbi.nlm.nih.gov/gene/?term=106481103
DPF1	DPF1	double PHD fingers 1	8193	https://www.ncbi.nlm.nih.gov/gene/?term=8193
SPINT2	SPINT2	serine peptidase inhibitor, Kunitz type 2	10653	https://www.ncbi.nlm.nih.gov/gene/?term=10653
PPP1R14A	PPP1R14A	protein phosphatase 1 regulatory inhibitor subunit 14A	94274	https://www.ncbi.nlm.nih.gov/gene/?term=94274
C19orf33	C19orf33	chromosome 19 open reading frame 33	64073	https://www.ncbi.nlm.nih.gov/gene/?term=64073
YIF1B	YIF1B	Yip1 interacting factor homolog B, membrane trafficking protein	90522	https://www.ncbi.nlm.nih.gov/gene/?term=90522
KCNK6	KCNK6	potassium two pore domain channel subfamily K member 6	9424	https://www.ncbi.nlm.nih.gov/gene/?term=9424
CATSPERG	CATSPERG	cation channel sperm associated auxiliary subunit gamma	57828	https://www.ncbi.nlm.nih.gov/gene/?term=57828
WDR87	WDR87	WD repeat domain 87	83889	https://www.ncbi.nlm.nih.gov/gene/?term=83889
PSMD8	PSMD8	proteasome 26S subunit, non-ATPase 8	5714	https://www.ncbi.nlm.nih.gov/gene/?term=5714
KLK1	KLK1	kallikrein 1	3816	https://www.ncbi.nlm.nih.gov/gene/?term=3816
KLK15	KLK15	kallikrein related peptidase 15	55554	https://www.ncbi.nlm.nih.gov/gene/?term=55554
KLK3	KLK3	kallikrein related peptidase 3	354	https://www.ncbi.nlm.nih.gov/gene/?term=354
KLK2	KLK2	kallikrein related peptidase 2	3817	https://www.ncbi.nlm.nih.gov/gene/?term=3817
KLKP1	KLKP1	kallikrein pseudogene 1	606293	https://www.ncbi.nlm.nih.gov/gene/?term=606293
KLK4	KLK4	kallikrein related peptidase 4	9622	https://www.ncbi.nlm.nih.gov/gene/?term=9622
KLK5	KLK5	kallikrein related peptidase 5	25818	https://www.ncbi.nlm.nih.gov/gene/?term=25818
KLK6	KLK6	kallikrein related peptidase 6	5653	https://www.ncbi.nlm.nih.gov/gene/?term=5653
KLK7	KLK7	kallikrein related peptidase 7	5650	https://www.ncbi.nlm.nih.gov/gene/?term=5650
KLK8	KLK8	kallikrein related peptidase 8	11202	https://www.ncbi.nlm.nih.gov/gene/?term=11202
KLK9	KLK9	kallikrein related peptidase 9	284366	https://www.ncbi.nlm.nih.gov/gene/?term=284366
KLK10	KLK10	kallikrein related peptidase 10	5655	https://www.ncbi.nlm.nih.gov/gene/?term=5655
KLK11	KLK11	kallikrein related peptidase 11	11012	https://www.ncbi.nlm.nih.gov/gene/?term=11012
KLK12	KLK12	kallikrein related peptidase 12	43849	https://www.ncbi.nlm.nih.gov/gene/?term=43849
KLK13	KLK13	kallikrein related peptidase 13	26085	https://www.ncbi.nlm.nih.gov/gene/?term=26085
KLK14	KLK14	kallikrein related peptidase 14	43847	https://www.ncbi.nlm.nih.gov/gene/?term=43847
MBOAT7	MBOAT7	membrane bound O-acyltransferase domain containing 7	79143	https://www.ncbi.nlm.nih.gov/gene/?term=79143
TSEN34	TSEN34	tRNA splicing endonuclease subunit 34	79042	https://www.ncbi.nlm.nih.gov/gene/?term=79042
RPS9	RPS9	ribosomal protein S9	6203	https://www.ncbi.nlm.nih.gov/gene/?term=6203
LILRB3	LILRB3	leukocyte immunoglobulin like receptor B3	11025	https://www.ncbi.nlm.nih.gov/gene/?term=11025
LILRA6	LILRA6	leukocyte immunoglobulin like receptor A6	79168	https://www.ncbi.nlm.nih.gov/gene/?term=79168
LILRB5	LILRB5	leukocyte immunoglobulin like receptor B5	10990	https://www.ncbi.nlm.nih.gov/gene/?term=10990
RNU6-1307P	RNU6-1307P	RNA, U6 small nuclear 1307, pseudogene	106481593	https://www.ncbi.nlm.nih.gov/gene/?term=106481593
LILRB2	LILRB2	leukocyte immunoglobulin like receptor B2	10288	https://www.ncbi.nlm.nih.gov/gene/?term=10288
MIR4752	MIR4752	microRNA 4752	100616171	https://www.ncbi.nlm.nih.gov/gene/?term=100616171
LILRA3	LILRA3	leukocyte immunoglobulin like receptor A3	11026	https://www.ncbi.nlm.nih.gov/gene/?term=11026
LILRA5	LILRA5	leukocyte immunoglobulin like receptor A5	353514	https://www.ncbi.nlm.nih.gov/gene/?term=353514
VN1R104P	VN1R104P	vomeronasal 1 receptor 104 pseudogene	100288195	https://www.ncbi.nlm.nih.gov/gene/?term=100288195
LILRA4	LILRA4	leukocyte immunoglobulin like receptor A4	23547	https://www.ncbi.nlm.nih.gov/gene/?term=23547
LAIR1	LAIR1	leukocyte associated immunoglobulin like receptor 1	3903	https://www.ncbi.nlm.nih.gov/gene/?term=3903
TTYH1	TTYH1	tweety family member 1	57348	https://www.ncbi.nlm.nih.gov/gene/?term=57348
LENG8-AS1	LENG8-AS1	LENG8 antisense RNA 1	104355426	https://www.ncbi.nlm.nih.gov/gene/?term=104355426
LENG8	LENG8	leukocyte receptor cluster member 8	114823	https://www.ncbi.nlm.nih.gov/gene/?term=114823
LENG9	LENG9	leukocyte receptor cluster member 9	94059	https://www.ncbi.nlm.nih.gov/gene/?term=94059
CDC42EP5	CDC42EP5	CDC42 effector protein 5	148170	https://www.ncbi.nlm.nih.gov/gene/?term=148170
LAIR2	LAIR2	leukocyte associated immunoglobulin like receptor 2	3904	https://www.ncbi.nlm.nih.gov/gene/?term=3904
KIR3DX1	KIR3DX1	killer cell immunoglobulin like receptor, three Ig domains X1	90011	https://www.ncbi.nlm.nih.gov/gene/?term=90011
LILRA2	LILRA2	leukocyte immunoglobulin like receptor A2	11027	https://www.ncbi.nlm.nih.gov/gene/?term=11027
LILRB1	LILRB1	leukocyte immunoglobulin like receptor B1	10859	https://www.ncbi.nlm.nih.gov/gene/?term=10859
LILRA1	LILRA1	leukocyte immunoglobulin like receptor A1	11024	https://www.ncbi.nlm.nih.gov/gene/?term=11024
LILRB4	LILRB4	leukocyte immunoglobulin like receptor B4	11006	https://www.ncbi.nlm.nih.gov/gene/?term=11006
VN1R105P	VN1R105P	vomeronasal 1 receptor 105 pseudogene	100288264	https://www.ncbi.nlm.nih.gov/gene/?term=100288264
LILRP1	LILRP1	leukocyte immunoglobulin-like receptor pseudogene 1	79167	https://www.ncbi.nlm.nih.gov/gene/?term=79167
LILRP2	LILRP2	leukocyte immunoglobulin-like receptor pseudogene 2	79166	https://www.ncbi.nlm.nih.gov/gene/?term=79166
KIR3DL1	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1	3811	https://www.ncbi.nlm.nih.gov/gene/?term=3811
KIR3DL3	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3	115653	https://www.ncbi.nlm.nih.gov/gene/?term=115653
KIR2DL4	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4	3805	https://www.ncbi.nlm.nih.gov/gene/?term=3805
KIR2DL3	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3	3804	https://www.ncbi.nlm.nih.gov/gene/?term=3804
KIR2DP1	KIR2DP1	killer cell immunoglobulin like receptor, two Ig domains pseudogene 1	554300	https://www.ncbi.nlm.nih.gov/gene/?term=554300
KIR2DL1	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1	3802	https://www.ncbi.nlm.nih.gov/gene/?term=3802
KIR3DP1	KIR3DP1	killer cell immunoglobulin like receptor, three Ig domains pseudogene 1	548594	https://www.ncbi.nlm.nih.gov/gene/?term=548594
KIR2DS4	KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4	3809	https://www.ncbi.nlm.nih.gov/gene/?term=3809
KIR3DL2	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2	3812	https://www.ncbi.nlm.nih.gov/gene/?term=3812
RNU6-222P	RNU6-222P	RNA, U6 small nuclear 222, pseudogene	106479665	https://www.ncbi.nlm.nih.gov/gene/?term=106479665
FCAR	FCAR	Fc fragment of IgA receptor	2204	https://www.ncbi.nlm.nih.gov/gene/?term=2204
NCR1	NCR1	natural cytotoxicity triggering receptor 1	9437	https://www.ncbi.nlm.nih.gov/gene/?term=9437
NLRP7	NLRP7	NLR family pyrin domain containing 7	199713	https://www.ncbi.nlm.nih.gov/gene/?term=199713
NLRP2	NLRP2	NLR family pyrin domain containing 2	55655	https://www.ncbi.nlm.nih.gov/gene/?term=55655
GP6	GP6	glycoprotein VI platelet	51206	https://www.ncbi.nlm.nih.gov/gene/?term=51206
RDH13	RDH13	retinol dehydrogenase 13	112724	https://www.ncbi.nlm.nih.gov/gene/?term=112724
TMC4	TMC4	transmembrane channel like 4	147798	https://www.ncbi.nlm.nih.gov/gene/?term=147798
EPS8L1	EPS8L1	EPS8 like 1	54869	https://www.ncbi.nlm.nih.gov/gene/?term=54869
IAH1	IAH1	isoamyl acetate hydrolyzing esterase 1 (putative)	285148	https://www.ncbi.nlm.nih.gov/gene/?term=285148
ADAM17	ADAM17	ADAM metallopeptidase domain 17	6868	https://www.ncbi.nlm.nih.gov/gene/?term=6868
YWHAQ	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	10971	https://www.ncbi.nlm.nih.gov/gene/?term=10971
RNU4-73P	RNU4-73P	RNA, U4 small nuclear 73, pseudogene	106481195	https://www.ncbi.nlm.nih.gov/gene/?term=106481195
TAF1B	TAF1B	TATA-box binding protein associated factor, RNA polymerase I subunit B	9014	https://www.ncbi.nlm.nih.gov/gene/?term=9014
GRHL1	GRHL1	grainyhead like transcription factor 1	29841	https://www.ncbi.nlm.nih.gov/gene/?term=29841
